Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
إسماعيل بولحية,Ismail  Boulahya,20,Male,,,,,1,Chamber of Deputies,تونس 2,Tunis 2,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الحبيب بوشويشة,Habib Bouchicha,21,Male,,,,,1,Chamber of Deputies,تونس 2,Tunis 2,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
العربي بنعلي,Arbi Ben Ali,22,Male,,,,,1,Chamber of Deputies,تونس 2,Tunis 2,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
كمال الشريقي,Kamel Chergui,23,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عزيزة حطيرة,Aziza Hatira,24,Female,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سيدة العقربي,Saida Agrebi,25,Female,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أبو بكر زخامة,Abou Bakr Zakhama,26,Make,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هالة حفصة,Hala Hafsi,27,Female,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصادق السعفي,Essadak Essaafi,28,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المنجي العكاري,Mongi Akari,29,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
