Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
 محمد العلوش,Mohamed Allouch,266,Male,1953,Teacher,Post Secondary,Bizerte,1,Constituent Assembly,بنزرت,Bizerte,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,الخيار الثالث,,2012-2013,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منية بن الناصر العيادي ,Monia Ben Nasr Ayadi,267,Female,1960,Business Manager,Post Secondary,Bizerte,0,Constituent Assembly,بنزرت,Bizerte,2011-2014,2013-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2013,مستقل,Independent,2013-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الصالح شعيرات,Mohamed Salah Chairet,268,Male,1973,Engineer,Post Secondary,Tunis,1,Constituent Assembly,بنزرت,Bizerte,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,حزب الأمان,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مراد العمدوني,Mourad Amdouni,269,Male,1969,Professor,Post Secondary,Sfax,1,Constituent Assembly,بنزرت,Bizerte,2011-2014,2011-2014,1,حركة الشعب,Mouvement Du Peuple,2011-2013,التيار الشعبي,Tendance populaire,2013-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مهدي بن غربية,Mehdi Ben Gharbia,270,Male,1973,Entrepreneur ,Post Secondary,Tunis,1,Constituent Assembly,بنزرت,Bizerte,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مهدى بن غربية,Mehdi Ben Gharbia,270,Male,1973,Entrepreneur ,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2014-2016,0,التحالف الديمقراطى,Alliance Democratique,2014-2016,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
المهدي بن غربية,Mehdi Ben Gharbia,270,Male,1973,Entrepreneur ,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,حركة تحيا تونس,Mouvement Tahya Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
معز بالحاج رحومة,Moez Belhaj Rhouma,271,Male,1966,,,La Manouba,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
معز بلحاج رحومة,Moez Belhaj Rhouma,271,Male,1966,,,La Manouba,0,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2014-2019,2015-2019,1,حركة النهضة,Mouvement Ennahdha,2015-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
معز بلحاج رحومة,Moez Belhaj Rhouma,271,Male,1966,,,La Manouba,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سناء الحداد,Sana Haddad,272,Female,1976,Lawyer,Post Secondary,Nabeul,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد عبو,Mohamed Abbou,273,Male,1966,Lawyer,Post Secondary,Tunis,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2012,0,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سهير الدردوري,Souhir Dardouri,274,Female,1971,Professor,Post Secondary,,0,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2012-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,,المستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللطيف عبيد,Abdellatif Abid,275,Male,1947,Professor,Post Secondary,Nabeul,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,0,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سلمى زنيدي,Selma Znaidi,276,Female,,Media and Communications,Post Secondary,Nabeul,0,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
طارق بو عزيز,Tarek Bouaziz,277,Male,1982,,Post Secondary,Siliana,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نعمان الفهري,Noomane Fehri,278,Male,,Entrepreneur ,Post Secondary,Nabeul,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,1,آفاق تونس,Afek Tounes,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نعمان الفهرى,Noomane Fehri,278,Male,,Entrepreneur ,Post Secondary,Nabeul,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2014-2019,2014-2015,0,أفاق تونس,Afek Tounes,2014-2015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نجلاء بو ريال,Najla Bouriel,279,Female,1970,Anesthesiologist,Post Secondary,Tunis,1,Constituent Assembly,نابل 1,Nabeul 1,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عماد الحمامي,Imed Hammami,280,Male,1964,Engineer,Post Secondary,Nabeul,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صالحة بن عائشة,Salha Ben Aicha,281,Female,1973,Lawyer,Post Secondary,Tunis,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
المنصف المرزوقي,Moncef Marzouki,282,Male,,,,,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011,0,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011,مستقل,Independent,2011,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامية عبو,Samia Abbou,283,Female,1965,Lawyer,Post Secondary,La Manouba,0,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2013,حزب التيار الديمقراطي,Courant Democrate,2013-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامية حمودة عبو,Samia Abbou,283,Female,1965,Lawyer,Post Secondary,La Manouba,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2014-2019,2014-2019,1,حزب التيار الديمقراطي,Courant Democrate,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامية عبو,Samia Abbou,283,Female,1965,Lawyer,Post Secondary,La Manouba,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فاطمة الغربي,Fatma Gharbi,284,Female,1971,Lawyer,Post Secondary,Nabeul,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,مستقل,Independent,2012,حركة نداء تونس,Mouvement Nidaa Tounes,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
المنصف شارني,Moncef Cherni,285,Male,1984,Bureaucrat (National Electricity Company),Post Secondary,Jendouba,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمود البارودي,Mahmoud Baroudi,286,Male,1981,Financial Analysist,Post Secondary,Nabeul,1,Constituent Assembly,نابل 2,Nabeul 2,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد بن سالم,Mohamed Ben Salem,287,Male,1952,Professor,Post Secondary,Zaghouan,1,Constituent Assembly,زغوان,Zaghouan,2011-2014,2011-2012,0,حركة النهضة,Mouvement Ennahdha,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 محمد بن سالم,Mohamed Ben Salem,287,Male,1952,Professor,Post Secondary,Zaghouan,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خليد بلحاج,Khaled Belhaj,288,Male,1975,Professor,Post Secondary,Zaghouan,0,Constituent Assembly,زغوان,Zaghouan,2011-2014,2012-2013,0,حركة النهضة,Mouvement Ennahdha,,حزب البناء الوطني,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نبيهة ترجمان,Nabiha Torjmane,289,Female,1964,Financial Clerk,Post Secondary,Zaghouan,1,Constituent Assembly,زغوان,Zaghouan,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
قيس مختار,Kais Mokhtar,290,Male,1978,,Post Secondary,Tunis,1,Constituent Assembly,زغوان,Zaghouan,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الجديدي السبوعي,Jedidi Sboui,291,Male,1974,Curator,Post Secondary,Zaghouan,1,Constituent Assembly,زغوان,Zaghouan,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,تيار المحبة,Courant De L’Amour,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الجديدي السبوعي,Jedidi Sboui,291,Male,1974,Curator,Post Secondary,Zaghouan,1,Assembly of the Representatives of the People,زغوان,Zaghouan,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الناصر إبراهمي,Nacer Brahmi,292,Male,1953,Teacher's Union,Post Secondary,Sidi Bouzid,1,Constituent Assembly,زغوان,Zaghouan,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,,مستقل,Independent,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد سعيدي,Mohamed Saidi,293,Male,1945,Editor,Post Secondary,Beja,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نبيلة العسكري السنوسي,Nabila Askri Snoussi,294,Female,1967,Professor,Post Secondary,Tunis,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أيمن الزواغي,Aymen Zouaghi,295,Male,1983,Lawyer,Post Secondary,Beja,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,تيار المحبة,Courant De L’Amour,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شكري القسطلي,Chokri Kastli,296,Male,1962,Teacher,Post Secondary,Beja,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
علي بالشريفة,Ali Bechrifa,297,Male,1960,Professor,Post Secondary,Beja,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,مستقل,Independent,2012,المسار الديمقراطي الاجتماعي,Voie Democratique Et Sociale,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ربيع العابدي,Rabii Abdi,298,Male,1976,,Post Secondary,Beja,1,Constituent Assembly, باجة,Beja,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,مستقل,Independent,2012,حركة وفاء,Mouvement Wafa,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللطيف المكى,Abdellatif Mekki,299,Male,1950,Professor,Post Secondary,Mahdia,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2012,0,حركة النهضة,Mouvement Ennahdha,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللطيف المكى,Abdellatif Mekki,299,Male,1962,Doctor,Post Secondary,Le Kef,1,Assembly of the Representatives of the People,الكاف,Le Kef,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مختار اللموشي ,Mokhtar Lamouchi,300,Male,1962,Teacher,Post Secondary,Le Kef,0,Constituent Assembly,الكاف,Le Kef,2011-2014,2012-2014,1,حركة النهضة,Mouvement Ennahdha,2012-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مختار اللموشي ,Mokhtar Lamouchi,300,Male,1962,Teacher,Post Secondary,Le Kef,1,Assembly of the Representatives of the People,الكاف,Le Kef,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منيرة عمري,Mounira Omri,301,Female,1973,Teacher,Post Secondary,Le Kef,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
طارق العبيدي,Tarek Laabidi,302,Male,1969,Teacher,Post Secondary,Le Kef,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,مستقل,Independent,2012,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد القادر بن خميس,Abdelkader Ben Khemis,303,Male,1942,Professor,Post Secondary,Le Kef,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,مستقل,Independent,2012,المسار الديمقراطي الاجتماعي,Voie Democratique Et Sociale,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حاتم الكلاعي,Hatem Ben Abdallah Kelai,304,Male,1974,Teacher,Post Secondary,Le Kef,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,مستقل,Independent,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد نجيب الحسني,Mohamed Nejib Hosni,305,Male,1954,Judge,Post Secondary,Le Kef,1,Constituent Assembly,الكاف,Le Kef,2011-2014,2011-2014,1,القائمة المستقلة الأمل,Espoir de Liste Independante,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عادل بن عطية ,Adel Benattia,306,Male,1970,Lawyer,Post Secondary,Siliana,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامية الفرشيشي,Samia Ferchichi,307,Female,1964,Professor,Post Secondary,Siliana,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حطاب بركاتي,Hattab Barakati,308,Male,1966,Engineer,Post Secondary,Siliana,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,حزب العمال,Parti des Travailleurs,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نور الدين المرابطي,Noureddine Mrabti ,309,Male,1974,Teacher,Post Secondary,Siliana,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,الاتحاد الوطنى الحر,Union Patriotique Libre,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نورالدين المرابطى,Noureddine Mrabti ,309,Male,1974,Teacher,Post Secondary,Siliana,1,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2014-2019,1,الاتحاد الوطنى الحر,Union Patriotique Libre,2014-2018,حركة نداء تونس,Mouvement Nidaa Tounes,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شكري العرفاوي,Chokri Arfaoui,310,Male,1963,Teacher,Post Secondary,Siliana,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إياد الدهماني,Iyed Dahmani,311,Male,1977,Journalist,,,1,Constituent Assembly, سليانة,Siliana,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
اياد الدهمانى,Iyed Dahmani,311,Male,1977,Journalist,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2014-2016,0,الحزب الجمهورى,Al Joumhouri,2014-2016,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد المشرقي,Ahmed Mechergui,312,Male,1969,Teacher,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد مشرقى,Ahmed Mechergui,312,Male,1969,Teacher,Post Secondary,Jendouba,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سناء مرسنى,Sana Mersni,313,Female,1984,Lawyer,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سناء مرسنى,Sana Mersni,313,Female,1984,Lawyer,Post Secondary,Jendouba,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أنور مرزوقي,Anouar Marzougui,314,Male,1974,Professor,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,حزب الأمان,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سعيد المشيشي,Said Mechichi,315,Male,1961,Lawyer,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2012,0,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نفيسة مرزوقي,Nefissa Marzougui,316,Female,1955,Teacher,Post Secondary,Jendouba,0,Constituent Assembly,جندوبة,Jendouba,2011-2014,2012-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2012-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رابح الخرايفي,Rabeh Khraifi,317,Female,1969,Lawyer,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ضمير المناعي,Dhamir Mannai,318,Male,1963,Professor,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
وسام ياسين,Wissam Yassine,319,Male,1974,Teacher,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,القائمة المستقلة النضال الاجتماعي,Liste Independante De La Lutte Sociale,2011-2014,صوت شعب تونس,La Voix Du Peuple Tunisien,2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منجي الرحوي,Mongi Rahoui,320,Male,1964,Banker,Post Secondary,Jendouba,1,Constituent Assembly,جندوبة,Jendouba,2011-2014,2011-2014,1,حزب الوطنيين الديمقراطيين الموحد,Parti unifié des patriotes démocrates,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منجى الرحوى,Mongi Rahoui,320,Male,1964,Banker,Post Secondary,Jendouba,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منجى الرحوى,Mongi Rahoui,320,Male,1964,Banker,Post Secondary,Jendouba,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,حزب الجبهة الشعبية,Front Populaire,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمود قويعة,Mahmoud Gouiaa,321,Male,1965,Teacher,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمود قويعة,Mahmoud Gouiaa,321,Male,1965,Teacher,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فريدة عبيدي,Farida Labidi,322,Female,1968,Lawyer,Post Secondary,Le Kef,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد السميعي,Ahmed Smiai,323,Male,1943,Teacher,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مفيدة مرزوقي,Moufida Marzouki,324,Female,1960,Teacher,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رمضان دغماني,Romdhane Doghmani,325,Male,1952,Principal,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,صوت شعب تونس,La Voix Du Peuple Tunisien,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ريم الثائرى,Rim Thairi,326,Female,1980,Professor,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,تيار المحبة,Courant De L’Amour,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ريم الثائرى,Rim Thairi,326,Female,1980,Professor,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,تيار المحبة,Courant De L’Amour,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نزار مخلوفي,Nizar Makhloufi,327,Male,1981,Teacher,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,مستقل,Independent,2012,حزب التيار الديمقراطي,Courant Democrate,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
